Mensagem,Classe
<Forwarded from 448712404000>CALL 08712...,spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
JULY 26,ham
Just buy a pizza. Meat lovers or supremes. You know...,ham
Congratulations! The Nokia 3650 video camera phone is you...,spam
RCT' THNQ Adrian for U text. Rgds Vatian,spam
"Arms fine, how's Cardiff and uni? ",ham
"Come on, baby, make me horny, turn me on! Send me a message...",spam
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
Did u got that persons story,ham
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
When're you guys getting back? G said you were thinking about not staying for mcr,ham
"Attack Message: When you lift Daphne up, you say HELLO...",ham
Does uncle timi help in clearing cars,ham
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
Today my system is ready. everything is fine and I...,ham
Okay. Thank you...,ham
"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",spam
Congratulations! The special 1-year cinema pass for 2 people is...,spam
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
Enjoy the golf club with hamster video sound with you...,spam
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham
"Sorry, I missed your call, let's talk when you...",spam
I am literally in bed and have been up for like  &lt;#&gt;  hours,ham
Tell me whos this pls:-),ham
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam
Okie... Thanx...,ham
Mobile Club: Choose any of the high-quality items...,spam
Still chance there. If you search hard you will get it..let have a try :),ham
WHO won a City Break and could WIN £200...,spam
No calls..messages..missed calls,ham
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham
PRIVATE! Your 2003 Account Statement for 078,spam
JADE IS PAUL. Didn't you send me a message? DO YOU REMEMBER...,ham
Hmm ill have to think about it... ok you're forgiven! =D,ham
